Date,FDI
 1/2009,0.31 
 2/2009,0.69 
 3/2009,1.16 
 4/2009,0.04 
 5/2009,0.60 
 6/2009,1.20 
 7/2009,0.70 
 8/2009,1.80 
 9/2009,0.70 
 10/2009,0.80 
 11/2009,1 
 12/2009,1 
 1/2010,0.40 
 2/2010,0.70 
 3/2010,1.40 
 4/2010,0.90 
 5/2010,1.10 
 6/2010,0.90 
 7/2010,1 
 8/2010,0.90 
 9/2010,0.70 
 10/2010,1 
 11/2010,1 
 12/2010,1 
 1/2011,0.42 
 2/2011,0.73 
 3/2011,1.39 
 4/2011,1.08 
 5/2011,0.90 
 6/2011,0.78 
 7/2011,1 
 8/2011,0.95 
 9/2011,0.95 
 10/2011,0.90 
 11/2011,0.95 
 12/2011,0.95 
 1/2012,0.40 
 2/2012,0.60 
 3/2012,1.52 
 4/2012,1.09 
 5/2012,0.90 
 6/2012,0.89 
 7/2012,0.85 
 8/2012,1.03 
 9/2012,0.82 
 10/2012,0.90 
 11/2012,1 
 12/2012,0.46 
 1/2013,0.42 
 2/2013,0.63 
 3/2013,1.65 
 4/2013,1.05 
 5/2013,0.83 
 6/2013,1.12 
 7/2013,0.95 
 8/2013,0.91 
 9/2013,1.07 
 10/2013,0.96 
 11/2013,0.97 
 12/2013,0.95 
 1/2014,0.46 
 2/2014,0.65 
 3/2014,1.73 
 4/2014,0.60 
 5/2014,0.60 
 6/2014,1.15 
 7/2014,1.05 
 8/2014,1.05 
 9/2014,1 
 10/2014,1.25 
 11/2014,1.05 
 12/2014,1.15 
 1/2015,0.50 
 2/2015,0.70 
 3/2015,1.85 
 4/2015,1.15 
 5/2015,0.75 
 6/2015,1.35 
 8/2015,1.10 
 9/2015,1.15 
 10/2015,2.15 
 11/2015,1.40 
 12/2015,1.30 
 1/2016,0.80 
 2/2016,0.70 
 3/2016,2 
 4/2016,1.15 
 5/2016,1.15 
 6/2016,1.15 
 7/2016,1.45 
 8/2016,1.30 
 9/2016,1.25 
 10/2016,1.22 
 11/2016,1.68 
 1/2017,1.60 
 2/2017,0.85 
 3/2017,0.70 
 4/2017,2.07 
 5/2017,1.18 
 6/2017,1.35 
 7/2017,1.57 
 8/2017,1.33 
 9/2017,1.25 
 10/2017,2.20 
 11/2017,1.70 
 12/2017,1.80 
 1/2018,1.50 
 2/2018,1.05 
 3/2018,0.65 
 4/2018,2.18 
 5/2018,1.22 
 6/2018,1.65 
 7/2018,1.62 
 8/2018,1.48 
 9/2018,1.40 
 10/2018,2 
 11/2018,1.85 
 12/2018,1.40 
 1/2019,2.60 
